step,speedX,speedY,speedZ,angle,trackPos,z,rpm,gear,steer,accel,brake,target_speed,target_brake,front,front_delta,left_front,right_front,apex_target,trackPos_delta,left_open,right_open,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18
52,0.210909,-0.000909168,0.00359628,0.00863284,0.333431,0.293067,5235.99,1,-0.019569237007456733,0.8,0.0,118,0.0,61.9093,0.010600000000003718,139.882,59.5659,0.0,-5.000000000032756e-06,139.882,59.5659,5.70549,12.6432,22.5339,139.882,90.6733,77.174,71.515,67.213,64.4498,61.9093,59.5659,57.3977,54.621,51.7683,47.1741,40.0141,31.0067,22.7439,11.2181
53,0.731939,-0.00985757,0.00565381,0.00873297,0.333435,0.29306,5235.99,1,-0.018869004891577917,0.8,0.0,118,0.0,61.8794,-0.029900000000004923,139.731,59.538,0.0,4.000000000004e-06,139.731,59.538,5.70604,12.6471,22.5545,139.731,90.6097,77.1274,71.475,67.1778,64.4174,61.8794,59.538,57.3719,54.5974,51.7472,47.1566,40.0005,30.9973,22.7383,11.217
54,1.58545,-0.00648728,0.0177035,0.00880879,0.33342,0.293036,5235.99,1,-0.018334451269027885,0.8,0.0,118,0.0,61.8512,-0.028199999999998226,139.605,59.5118,0.0,-1.4999999999987246e-05,139.605,59.5118,5.7066,12.6507,22.5741,139.605,90.5535,77.0858,71.4386,67.1452,64.3871,61.8512,59.5118,57.3473,54.575,51.7268,47.1393,39.9871,30.9879,22.733,11.2161
55,2.26566,-0.0106273,0.0353089,0.00885552,0.333407,0.293046,5235.99,1,-0.01800408960743778,0.8,0.0,118,0.0,61.8273,-0.02389999999999759,139.513,59.4893,0.0,-1.2999999999985246e-05,139.513,59.4893,5.70699,12.6534,22.5913,139.513,90.5092,77.0515,71.4084,67.118,64.3617,61.8273,59.4893,57.3259,54.5553,51.7088,47.1235,39.9747,30.9796,22.7284,11.2155
56,2.97061,-0.019898,0.0524079,0.0088436,0.333377,0.293102,5235.99,1,-0.018080363191990634,0.8,0.0,118,0.0,61.8154,-0.01190000000000424,139.497,59.4777,0.0,-3.0000000000030003e-05,139.497,59.4777,5.70717,12.6542,22.6009,139.497,90.4941,77.0378,71.3953,67.1056,64.3494,61.8154,59.4777,57.3147,54.5445,51.6982,47.1139,39.9666,30.9744,22.7258,11.2153
57,3.71403,-0.0171627,0.0652959,0.00885313,0.333337,0.293191,5235.99,1,-0.01800402634125333,0.8,0.0,118,0.0,61.7934,-0.021999999999998465,139.439,59.4568,0.0,-3.999999999998449e-05,139.439,59.4568,5.70757,12.6562,22.6182,139.439,90.4602,77.0096,71.3697,67.0815,64.3265,61.7934,59.4568,57.2946,54.5255,51.6803,47.0977,39.9533,30.9658,22.7214,11.2149
58,4.44506,-0.0161114,0.0727375,0.00889462,0.333291,0.293285,5235.99,1,-0.01770243944334248,0.8,0.0,118,0.0,61.7588,-0.03459999999999752,139.327,59.4236,0.0,-4.599999999999049e-05,139.327,59.4236,5.70821,12.6598,22.6447,139.327,90.4011,76.9625,71.3271,67.0425,64.2898,61.7588,59.4236,57.263,54.496,51.6529,47.0734,39.9338,30.9529,22.7144,11.214
59,5.14983,-0.0146327,0.0727356,0.00896281,0.333238,0.293348,5235.99,1,-0.017212197318287298,0.8,0.0,118,0.0,61.7126,-0.04619999999999891,139.167,59.3802,0.0,-5.300000000002525e-05,139.167,59.3802,5.70906,12.6648,22.6794,139.167,90.3204,76.8993,71.2705,66.9907,64.2409,61.7126,59.3802,57.2219,54.4575,51.6173,47.042,39.9087,30.9361,22.7053,11.2129
60,5.84351,-0.0146518,0.0717513,0.00903147,0.333177,0.293353,5235.99,1,-0.016716743869008968,0.8,0.0,118,0.0,61.6625,-0.05010000000000048,138.999,59.3327,0.0,-6.099999999997774e-05,138.999,59.3327,5.70998,12.6702,22.7182,138.999,90.2333,76.8309,71.209,66.9345,64.1879,61.6625,59.3327,57.1767,54.4154,51.578,47.0075,39.881,30.9176,22.6953,11.2116
61,6.59188,-0.0175217,0.0742929,0.00910824,0.333102,0.293303,5235.99,1,-0.01616113756983771,0.8,0.0,118,0.0,61.6024,-0.06009999999999849,138.8,59.2756,0.0,-7.499999999999174e-05,138.8,59.2756,5.71107,12.6766,22.7647,138.8,90.1306,76.7492,71.1355,66.8671,64.1243,61.6024,59.2756,57.1225,54.3647,51.5308,46.9657,39.8477,30.8953,22.6833,11.2101
62,7.30788,-0.0179292,0.0810237,0.00916975,0.333026,0.293234,5235.99,1,-0.015712154265656073,0.8,0.0,118,0.0,61.546,-0.05640000000000356,138.623,59.222,0.0,-7.60000000000205e-05,138.623,59.222,5.71208,12.6825,22.8095,138.623,90.0362,76.6732,71.0674,66.8041,64.0649,61.546,59.222,57.0714,54.3167,51.4861,46.9261,39.8157,30.8741,22.672,11.2088
